일자|시간|구분,공급량
2019-01-01 01 A,1887.3248312400412
2019-01-01 02 A,1757.7479705982248
2019-01-01 03 A,1612.6388316096186
2019-01-01 04 A,1612.6388316096186
2019-01-01 05 A,1753.1367527520588
2019-01-01 06 A,1804.7548875214688
2019-01-01 07 A,1905.3736784965463
2019-01-01 08 A,2160.024351907053
2019-01-01 09 A,2353.9996484618064
2019-01-01 10 A,2350.5932113768927
2019-01-01 11 A,2309.764937407384
2019-01-01 12 A,2156.9364836370537
2019-01-01 13 A,2067.6884366511526
2019-01-01 14 A,1994.3995119923443
2019-01-01 15 A,1847.9383286669859
2019-01-01 16 A,1818.7652100580142
2019-01-01 17 A,1941.5104668304452
2019-01-01 18 A,2267.5420685585564
2019-01-01 19 A,2431.749833534815
2019-01-01 20 A,2389.1383709445354
2019-01-01 21 A,2340.5744903545665
2019-01-01 22 A,2238.1799198698504
2019-01-01 23 A,2144.0804899710083
2019-01-01 24 A,2024.8054986905343
2019-01-02 01 A,1870.244763195563
2019-01-02 02 A,1683.080473780146
2019-01-02 03 A,1550.9709102459628
2019-01-02 04 A,1619.9142028400092
2019-01-02 05 A,1843.8467332482192
2019-01-02 06 A,2016.3422811174335
2019-01-02 07 A,2338.725035953196
2019-01-02 08 A,2777.9015914376705
2019-01-02 09 A,2939.8337615790383
2019-01-02 10 A,2832.772395185522
2019-01-02 11 A,2682.6523195581253
2019-01-02 12 A,2583.0473181639763
2019-01-02 13 A,2475.951926104783
2019-01-02 14 A,2391.0479545219237
2019-01-02 15 A,2248.0049763109405
2019-01-02 16 A,2174.551612570579
2019-01-02 17 A,2226.3143221171404
2019-01-02 18 A,2474.4959998319873
2019-01-02 19 A,2652.786111078328
2019-01-02 20 A,2665.4297088703815
2019-01-02 21 A,2620.215866091461
2019-01-02 22 A,2547.1877302528615
2019-01-02 23 A,2462.136175445591
2019-01-02 24 A,2341.513138197274
2019-01-03 01 A,2043.6083964157012
2019-01-03 02 A,1768.3106796963893
2019-01-03 03 A,1657.6074472953064
2019-01-03 04 A,1725.62843138385
2019-01-03 05 A,1893.1165943818094
2019-01-03 06 A,2074.8513617272583
2019-01-03 07 A,2341.112243846922
2019-01-03 08 A,2742.2958192781766
2019-01-03 09 A,2929.2557128055832
2019-01-03 10 A,2759.2446463211345
2019-01-03 11 A,2679.323781383701
2019-01-03 12 A,2559.551427238109
2019-01-03 13 A,2456.801074337557
2019-01-03 14 A,2340.309270092279
2019-01-03 15 A,2172.0106105144246
2019-01-03 16 A,2042.1401988789396
2019-01-03 17 A,2169.568532289415
2019-01-03 18 A,2471.72018040219
